name,price,conf,percent,publish_time
AAVE,10034000000,10660851,0.0010624726928443293,1722213165
INJ,2475494061,2969545,0.0011995767013880144,1722213165
LINK,1354643301,1440752,0.0010635655887689655,1722213165
BTC,6877725000000,3555423308,0.0005169475819402492,1722213166
ETH,329122500000,146303750,0.00044452673396683603,1722213166
BNB,58762435086,36870020,0.000627442003484709,1722213166
ARB,72164975,67505,0.0009354260844682618,1722213166
CAKE,195949560,255946,0.001306183080992884,1722213166
SOL,18779013927,13374844,0.0007122229128745669,1722213166
XRP,60205000,59899,0.0009949173656673034,1722213166
ADA,41320142,40970,0.0009915261181822658,1722213166
AAVE,10033499975,8004700,0.0007977973807689175,1722213166
INJ,2475046213,3259033,0.0013167564237314708,1722213166
LINK,1354567728,1515575,0.001118862474479386,1722213166
BTC,6877467555290,3597578241,0.0005230963595361232,1722213167
ETH,329084350155,111470845,0.0003387303132084428,1722213167
BNB,58763397263,52066259,0.0008860321462861234,1722213167
ARB,72159000,74623,0.0010341468146731524,1722213167
CAKE,195950000,249600,0.0012737943352896146,1722213167
SOL,18777500500,14784926,0.0007873745496638384,1722213167
XRP,60202638,63394,0.0010530103348627348,1722213167
ADA,41317872,42154,0.001020236472972277,1722213167
AAVE,10030503300,9062760,0.0009035199659422873,1722213167
INJ,2474331422,3062608,0.0012377517307380337,1722213167
LINK,1354479489,1483072,0.0010949386919804438,1722213167
BTC,6877304408500,3734262200,0.0005429834100966421,1722213168
ETH,329077838947,157236906,0.0004778106799994027,1722213168
BNB,58763397263,50064119,0.0008519609371108051,1722213168
ARB,72157428,74370,0.0010306631217509583,1722213168
CAKE,195949120,265955,0.001357265600376261,1722213168
SOL,18777627661,14669116,0.0007812017718546453,1722213168
XRP,60202292,63740,0.0010587636763065432,1722213168
ADA,41317034,42992,0.0010405393572055536,1722213168
AAVE,10029064715,10619961,0.0010589183838963792,1722213168
INJ,2474057162,3542514,0.00143186424889887,1722213168
LINK,1354479489,1483072,0.0010949386919804438,1722213168
BTC,6877291254808,3648496011,0.0005305135228131121,1722213169
ETH,329072674967,142733382,0.0004337442542572505,1722213169
BNB,58761839461,56626444,0.0009636601665198508,1722213169
ARB,72155000,69503,0.0009632457903125216,1722213169
CAKE,195949120,265955,0.001357265600376261,1722213169
SOL,18778009012,14287765,0.0007608775238562017,1722213169
XRP,60202374,57900,0.0009617560928743441,1722213169
ADA,41316825,44287,0.001071887784213816,1722213169
AAVE,10026304672,10263549,0.0010236621901848386,1722213169
INJ,2473894539,2625725,0.0010613730531380586,1722213169
LINK,1354479489,1508047,0.001113377509402802,1722213169
BTC,6876982788702,3632330279,0.0005281866176788246,1722213170
ETH,329049139002,134034040,0.00040733745849183127,1722213170
BNB,58756522530,52434599,0.0008924047363971865,1722213170
ARB,72130040,84797,0.0011756128237278116,1722213170
CAKE,195949610,253750,0.0012949757848459101,1722213170
SOL,18777441596,14846099,0.0007906348116754383,1722213170
XRP,60199120,61431,0.001020463422056668,1722213170
ADA,41315000,39652,0.0009597482754447538,1722213170
AAVE,10023667877,10459100,0.0010434403981000936,1722213170
INJ,2473578780,2965508,0.0011988734799867583,1722213170
LINK,1354312280,1547720,0.0011428088062525727,1722213170
BTC,6877000428659,3438928839,0.0005000623272711622,1722213171
ETH,329048115388,116115388,0.00035288270185982227,1722213171
BNB,58755056082,53901047,0.0009173856786856671,1722213171
ARB,72129048,82202,0.001139651808519641,1722213171
CAKE,195949588,253772,0.0012950882040129628,1722213171
SOL,18778914095,15771066,0.0008398284331147317,1722213171
XRP,60198504,61394,0.0010198592310533166,1722213171
ADA,41314941,39711,0.0009611777008225669,1722213171
AAVE,10023092838,9874952,0.0009852200473053226,1722213171
INJ,2473516940,2941517,0.001189204307612302,1722213171
LINK,1354251000,1551000,0.0011452825214823545,1722213171
BTC,6876775000000,3439803804,0.0005002059546807915,1722213172
ETH,329048034080,116196696,0.0003531298897587384,1722213172
BNB,58756237488,45188172,0.0007690787213736915,1722213172
ARB,72124646,65126,0.0009029645705297465,1722213172
CAKE,195949082,245961,0.0012552291518262892,1722213172
SOL,18780128624,16165791,0.0008607923472547991,1722213172
XRP,60198905,56762,0.0009429075163410364,1722213172
ADA,41314951,38106,0.0009223295460280227,1722213172
AAVE,10023000000,8971839,0.0008951251122418437,1722213172
INJ,2473488132,2973484,0.0012021420121372144,1722213172
LINK,1354257128,1429181,0.0010553247019719583,1722213172
BTC,6876845557724,3369246080,0.0004899406350947781,1722213173
ETH,329049057694,115173082,0.00035001796633955264,1722213173
BNB,58758193947,43231713,0.0007357563276875917,1722213173
ARB,72127499,69267,0.0009603410760159589,1722213173
CAKE,195949560,246439,0.0012576654930993466,1722213173
SOL,18780406597,16443764,0.0008755808302162501,1722213173
XRP,60198255,57412,0.0009537153527124665,1722213173
ADA,41314951,38571,0.0009335845515101785,1722213173
AAVE,10022861104,9338782,0.0009317481209305602,1722213173
INJ,2473554065,2907551,0.0011754548004997822,1722213173
LINK,1354310808,1375501,0.0010156464763293833,1722213173
BTC,6876788150649,3226321748,0.00046916113704848015,1722213174
ETH,329057678528,119678528,0.00036370076071577336,1722213174
